epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7956,1.84062,4.46005,2.00806,0.00486,0.09882,0.00538,0.00185,2.18634,3.69929,2.45908,0.0705263,0.00327485,0.00327485
2,67.4171,1.75072,4.15287,1.90382,0.69854,0.01005,0.0086,0.00267,2.35384,3.59009,2.67926,0.0405198,0.00660165,0.00660165
3,96.4726,1.85824,3.90218,1.94915,0.44385,0.02987,0.00476,0.00162,2.51792,4.13595,2.75525,0.0105066,0.00992184,0.00992184
4,164.986,1.94716,3.77773,2.03474,0.38202,0.01582,0.00367,0.00088,3.00297,9.03582,3.74988,0.0099703,0.0099703,0.0099703
5,257.924,1.91279,3.68026,2.0335,0.15209,0.07175,0.01218,0.00411,2.46692,7.97013,3.01151,0.0099604,0.0099604,0.0099604
6,460.071,1.90074,3.50464,2.00313,0.31753,0.07101,0.02942,0.0114,2.51994,5.68356,2.85301,0.0099505,0.0099505,0.0099505
7,705.806,1.86935,3.43148,1.99002,0.23142,0.14293,0.04214,0.01318,2.38766,4.79887,2.76842,0.0099406,0.0099406,0.0099406
8,893.002,1.8241,3.34037,1.97112,0.45741,0.09897,0.06512,0.02101,2.34914,3.39015,2.75422,0.0099307,0.0099307,0.0099307
9,1127.94,1.81273,3.25123,1.97062,0.30679,0.13703,0.05571,0.01813,2.35487,3.31893,2.67502,0.0099208,0.0099208,0.0099208
10,1302.87,1.83109,3.18041,1.98684,0.2161,0.19964,0.08286,0.03267,2.14924,3.38859,2.49844,0.0099109,0.0099109,0.0099109
11,1403.38,1.78557,3.10774,1.93701,0.31853,0.07238,0.04148,0.01486,2.51831,3.77095,2.94919,0.009901,0.009901,0.009901
12,1457.74,1.79152,3.01306,1.94378,0.33453,0.13827,0.07799,0.02886,2.21672,3.29928,2.49685,0.0098911,0.0098911,0.0098911
13,1516.4,1.76309,3.00368,1.92455,0.36951,0.22911,0.15407,0.05824,2.10162,2.91669,2.44358,0.0098812,0.0098812,0.0098812
14,1575.29,1.79773,2.93167,1.92611,0.41079,0.18942,0.11599,0.04713,2.0922,3.00168,2.40964,0.0098713,0.0098713,0.0098713
15,1643.28,1.7461,2.83839,1.88912,0.33339,0.17532,0.1304,0.05139,2.06162,3.03647,2.44883,0.0098614,0.0098614,0.0098614
16,1742.92,1.76387,2.9137,1.92002,0.36563,0.18639,0.14377,0.06012,2.08524,3.0375,2.48263,0.0098515,0.0098515,0.0098515
17,1827.61,1.74389,2.80183,1.89275,0.46705,0.20376,0.13305,0.05102,2.19296,2.97013,2.44041,0.0098416,0.0098416,0.0098416
18,1883.36,1.75639,2.81231,1.90436,0.27479,0.20148,0.16184,0.06956,2.1279,2.79854,2.42755,0.0098317,0.0098317,0.0098317
19,1937.24,1.73552,2.72313,1.87856,0.42957,0.2255,0.17547,0.07576,2.01713,2.73018,2.3698,0.0098218,0.0098218,0.0098218
20,1996.62,1.70678,2.66909,1.88083,0.39367,0.26916,0.2102,0.09223,2.00915,2.71149,2.36863,0.0098119,0.0098119,0.0098119
21,2061.49,1.73539,2.67542,1.87494,0.33568,0.24526,0.193,0.08501,2.04387,2.52253,2.31757,0.009802,0.009802,0.009802
22,2144.17,1.70298,2.64025,1.85657,0.52941,0.20935,0.20468,0.08625,2.07104,2.62442,2.36787,0.0097921,0.0097921,0.0097921
23,2216.21,1.72554,2.62258,1.86536,0.4152,0.23193,0.19577,0.08719,2.04994,2.64455,2.42672,0.0097822,0.0097822,0.0097822
24,2263.86,1.71999,2.63785,1.86,0.53979,0.24245,0.2325,0.10278,1.99771,2.50264,2.35975,0.0097723,0.0097723,0.0097723
25,2311.27,1.71621,2.57962,1.85031,0.35292,0.29842,0.25006,0.11266,1.97212,2.46005,2.30512,0.0097624,0.0097624,0.0097624
26,2358.79,1.69614,2.55178,1.84334,0.49423,0.26591,0.24805,0.10597,2.06716,2.45786,2.37309,0.0097525,0.0097525,0.0097525
27,2410.67,1.69725,2.5389,1.84641,0.30434,0.2802,0.22891,0.09918,2.02994,2.44582,2.35153,0.0097426,0.0097426,0.0097426
28,2479.26,1.68467,2.54797,1.83589,0.31474,0.28523,0.22817,0.10058,1.99209,2.3346,2.30905,0.0097327,0.0097327,0.0097327
29,2569.02,1.6867,2.50601,1.83222,0.39246,0.30117,0.24313,0.10121,1.99603,2.4759,2.33166,0.0097228,0.0097228,0.0097228
30,2635.8,1.6741,2.50554,1.84118,0.40032,0.31142,0.25013,0.11376,1.99349,2.40217,2.32076,0.0097129,0.0097129,0.0097129
31,2689.75,1.66136,2.43396,1.80879,0.54168,0.28262,0.24997,0.10284,2.00476,2.39834,2.34789,0.009703,0.009703,0.009703
32,2772.08,1.65661,2.4437,1.8024,0.30421,0.31271,0.23214,0.10023,1.98466,2.37915,2.33045,0.0096931,0.0096931,0.0096931
33,2845.47,1.66921,2.41187,1.81177,0.35111,0.29032,0.23798,0.09782,2.02262,2.44484,2.30986,0.0096832,0.0096832,0.0096832
34,2920.6,1.66283,2.41917,1.80675,0.42979,0.29367,0.25295,0.11089,2.06975,2.44361,2.34748,0.0096733,0.0096733,0.0096733
35,2976.46,1.66466,2.37003,1.79676,0.47201,0.29524,0.30563,0.13308,2.00007,2.24386,2.31171,0.0096634,0.0096634,0.0096634
36,3060.87,1.65903,2.34142,1.78399,0.38712,0.30204,0.26922,0.12126,2.03083,2.38284,2.32027,0.0096535,0.0096535,0.0096535
37,3137.44,1.64531,2.31499,1.78498,0.49584,0.32951,0.29257,0.12928,2.07029,2.25641,2.35753,0.0096436,0.0096436,0.0096436
38,3214.46,1.62615,2.35064,1.78976,0.52539,0.30821,0.29121,0.12488,2.00861,2.34405,2.32687,0.0096337,0.0096337,0.0096337
39,3273.53,1.65646,2.31677,1.7911,0.4593,0.31318,0.26308,0.12216,2.00074,2.39233,2.33634,0.0096238,0.0096238,0.0096238
